DZnFxQ9jgzw_p1#0	Biscoito Recheado Passatempo pct 130g	2,99	cada
DZnFxQ9jgzw_p1#1	Biscoito Wafer KitKat Nestlé pct 41,5g	3,99	cada
DZnFxQ9jgzw_p1#2	Biscoito Choco Biscuit Nestlé com Chocolate ao Leite ou Branco pct 78g	6,99	cada
DZnFxQ9jgzw_p1#3	Chocolate em Tablete Garoto pct 80g	7,49	cada
DZnFxQ9jgzw_p1#4	Chocolate em Tablete Nestlé pct 80g, 85g ou 90g	7,99	cada
DZnFxQ9jgzw_p1#5	Bebida Láctea Starbucks tb 280ml	7,99	cada
DZnFxQ9jgzw_p1#6	Bebida Láctea UHT Nescau cx 180ml	1,79	cada
DZnFxQ9jgzw_p1#7	Bebida Láctea Fast Nestlé tb 270ml ou 280ml	5,99	cada
DZnFxQ9jgzw_p1#8	Bebida Láctea Nescau cx 1 litro	10,49	cada
DZnFxQ9jgzw_p2#0	Café Solúvel Nescafé pct 40g	3,99	cada
DZnFxQ9jgzw_p2#1	Café em Cápsula Nescafé Dolce Gusto cx c/10	17,99	cada
DZnFxQ9jgzw_p2#2	Leite em Pó Ninho Integral, Instantâneo ou Semidesnatado lta 380g	17,90	cada
DZnFxQ9jgzw_p2#3	Achocolatado em Pó Nescau Nestlé pct 550g	15,99	cada
DZnFxQ9jgzw_p2#4	Composto Lácteo Ninho Forti+ Instantâneo pct 750g	27,99	cada
DZnFxQ9jgzw_p2#5	Leite em Pó Molico Desnatado pct 500g	29,99	cada
DZnFxQ9jgzw_p2#6	Aveia em Flocos ou Farinha de Aveia Nestlé cx 170g	4,49	cada
DZnFxQ9jgzw_p2#7	Cereal Matinal Nestlé pct 120g	5,99	cada
DZnFxQ9jgzw_p2#8	Farinha Láctea ou Cereal Neston Nestlé pct 210g	5,49	cada
DZnFxQ9jgzw_p2#9	Tempero Meu Segredo Maggi cx 49g	2,79	cada
DZnFxQ9jgzw_p2#10	Suplemento Alimentar em Pó Nutren Senior sem Sabor lta 370g	89,99	cada
DaLBFjyjtEs_p2#0	Coxinha da Asa de Frango Lar 1kg (IQF - Congelada)	12,99	cada
DaLBFjyjtEs_p2#1	Linguiça de Frango Bom Todo	14,90	kg
DaLBFjyjtEs_p2#2	Mini Kibe Felitá Chef 810g (Congelado - Tradicional/Com Requeijão)	20,99	cada
DaLBFjyjtEs_p2#3	Pão de Queijo Felitá Chef 800g (Congelado - Tradicional)	14,99	cada
DaLBFjyjtEs_p2#4	Milho para Pipoca VitaForte 400g	2,99	cada
DaLBFjyjtEs_p2#5	Salgadinho Reizinho Snacks 40g (Sabores)	1,29	cada
DaLBFjyjtEs_p2#6	Cerveja Heineken 330ml (Long Neck - Tradicional/Zero)	5,99	cada
DaLBFjyjtEs_p2#7	Salgadinho Pippo's 200g (Churrasco/Queijo/Pizza/Cebola e Salsa)	8,99	cada
DaLBFjyjtEs_p2#8	Bebida Energética Mormaii 473ml (Sabores)	5,99	cada
DaLBFjyjtEs_p2#9	Cerveja Amstel Ultra Puro Malte 275ml (Long Neck)	4,79	cada
DaLBFjyjtEs_p2#10	Vodka Intención 900ml / Gin Intención 900ml	24,99	cada
DaWTmSpm3kn_p1#0	Picanha Bovina Fatiada Resfriada a Vácuo KG	37,99	kg
DaWTmSpm3kn_p10#0	Frango a Passarinho Super Frango Congelado 1kg	9,98	cada
DaWTmSpm3kn_p2#0	Alcatra com Maminha Bovina Resfriada Peça ou Pedaço kg	37,99	kg
DaWTmSpm3kn_p3#0	Camarão Inteiro Tamanho 50/60 Camanor Congelado KG	37,90	kg
DaWTmSpm3kn_p4#0	Picanha Suína Excelência Temperada Congelada KG	27,99	kg
DaWTmSpm3kn_p5#0	Filezinho de Peito de Frango Sadia Congelado BDJ 1kg	18,49	cada
DaWTmSpm3kn_p6#0	Açaí do Norte 5L	44,90	cada
DaWTmSpm3kn_p7#0	Filé de Peito de Frango Super Frango Congelado BDJ 1kg	15,99	cada
DaWTmSpm3kn_p8#0	Lasanha Perdigão Bolonhesa 600g	13,49	cada
DaWTmSpm3kn_p9#0	Pão de Alho Boa Massa Tradicional 400g	10,99	cada
DaY4NpZm2fa_p1#0	Capa de Filé Bovina Resfriada a Vácuo ou Congelada KG	29,98	kg
DaY4NpZm2fa_p2#0	Açúcar Ecoçúcar Triturado 1kg	2,59	cada
DaY4NpZm2fa_p3#0	Macarrão Espaguete Bonsabor 400G	1,89	cada
DaY4NpZm2fa_p4#0	Iogurte Betânia Yobem Zero Sabores GF 850G	11,69	cada
DaY4NpZm2fa_p5#0	Creme Dental Close Up Triple Hortelã, Menta ou Menta Americana 70g	2,49	cada
DaY4NpZm2fa_p6#0	Cerveja Bohemia Lata 350ml	2,69	cada
DaaDYIyDHNz_p1#0	Cerveja Budweiser 350ml (Sleek) - Leve 12, Pague 9 (Super Dia Show, preço exclusivo Família Show/CPF, máximo 8 caixas com 12 por CPF)	3,29	cada
DaaDYIyDHNz_p10#0	Café Santa Clara 250g (Extraforte)	11,89	cada
DaaDYIyDHNz_p2#0	Cerveja Puro Malte 3.0 Pilsen 350ml (Lata) - oferta exclusiva cliente cadastrado (preço normal R$ 2,99)	2,59	cada
DaaDYIyDHNz_p3#0	Linguiça Aurora (Churrasco/Frango) - oferta exclusiva para cliente cadastrado (de R$ 23,99/kg)	15,99	kg
DaaDYIyDHNz_p4#0	Fraldinha Bovina (Congelada) Friboi	39,99	kg
DaaDYIyDHNz_p5#0	Filé de Peito de Frango Super Frango 1kg (Bandeja) - oferta exclusiva para cliente cadastrado (de R$ 23,99 por)	15,99	cada
DaaDYIyDHNz_p6#0	Peito de Frango (Envelopado) Super Frango Congelado - oferta exclusiva cliente cadastrado (preço normal R$ 15,49/kg)	9,99	kg
DaaDYIyDHNz_p7#0	Coxa c/ Sobrecoxa de Frango (c/ Dorsal) Lar - de R$ 14,99/kg por (oferta exclusiva para cliente cadastrado)	6,79	kg
DaaDYIyDHNz_p8#0	Chã de Fora (Resfriado)	37,99	kg
DaaDYIyDHNz_p9#0	Ovo Branco Grande Granja Almeida c/ 30 (Bandeja)	13,99	cada
DaaDYIyDHNz_p9#1	Banana Anã	3,28	kg
DaaX_wwkZ_C_p2#0	Frango a Passarinho Temperado Lar 700g (Congelado)	7,99	cada
DaaX_wwkZ_C_p2#1	Picanha Bovina Bordon	59,99	kg
DaaX_wwkZ_C_p2#2	Chã de Fora (Resfriado)	37,99	kg
DaaX_wwkZ_C_p2#3	Fraldinha Bovina (Congelada)	59,99	kg
DaaX_wwkZ_C_p2#4	Linguiça Aurora (Churrasco/Frango)	15,99	kg
DaaX_wwkZ_C_p2#5	Cerveja Budweiser 350ml (Leve 12, Pague 9 — a unidade sai por)	3,29	cada
DaaX_wwkZ_C_p2#6	Cerveja Puro Malte 3.0 Pilsen	2,59	cada
DaaX_wwkZ_C_p2#7	Vinho Galiotto 750ml	14,99	cada
DaaX_wwkZ_C_p2#8	Refrigerante Dore 2L	5,49	cada
DaaxP43DhXE_p1#0	Batata Congelada Peterfrut 2kg	14,99	cada
DaaxP43DhXE_p10#0	Lava Roupa em Pó ALA 400g	3,99	cada
DaaxP43DhXE_p11#0	Lava Roupas Líq. OMO 3L Lavagem Perfeita	37,99	cada
DaaxP43DhXE_p2#0	Hamburguer Chuletão Misto 56g	0,55	cada
DaaxP43DhXE_p3#0	Coxa/Sobre Frango Dorsal kg	7,99	kg
DaaxP43DhXE_p4#0	Óleo de Soja Soya PET 900ml	6,99	cada
DaaxP43DhXE_p5#0	Mistura Láctea Condensada Mococa 395 g (Mist Lactea Condensado Mococa 395G)	3,49	cada
DaaxP43DhXE_p6#0	Mult Uso UAU 500ml (Multiuso Perfumado UAU Perfumes)	5,59	un
DaaxP43DhXE_p6#1	Mult Uso UAU 500ml (Multiuso Perfumado UAU Perfumes) - a partir de 6 unidades	5,09	un
DaaxP43DhXE_p7#0	Camarão Inteiro Camar kg	34,99	kg
DaaxP43DhXE_p8#0	Beb Lac Nescau Activ 180ml (a partir de 3 unidades R$ 2,29)	2,35	un
DaaxP43DhXE_p9#0	Uva Vitória s/ Semente Marcelo Frazão Frutas 500g	4,79	cada
DabIlLrm1V2_p1#0	Fralda Pampers Pants Mega Tamanhos (P 32un, M 30un, G 28un, XG 22un, XXG 20un, XXXG 20un)	33,90	cada
DabIlLrm1V2_p10#0	Suco Tampico Frutas Cítricas ou Uva PET 250ml	2,19	cada
DabIlLrm1V2_p2#0	Toalha Umedecida Bebê Limpinho Premium 90 unids	5,49	cada
DabIlLrm1V2_p3#0	Açaí do Norte 5L	44,90	cada
DabIlLrm1V2_p4#0	Filé de Peito de Frango Super Frango Congelado BDJ 1kg	15,99	cada
DabIlLrm1V2_p5#0	Lasanha Perdigão Bolonhesa 600g	13,49	cada
DabIlLrm1V2_p6#0	Pão de Alho Boa Massa Tradicional 400g	10,99	cada
DabIlLrm1V2_p7#0	Frango a Passarinho Super Frango Congelado 1kg	9,98	cada
DabIlLrm1V2_p8#0	Refrigerante São Geraldo Laranja 1L	4,99	cada
DabIlLrm1V2_p9#0	Refrigerante Guaraná Antarctica Zero PET 1L	4,45	cada
DabRmxqHxTB_p2#0	Amaciante concentrado Comfort 500ml	8,98	un
DabRmxqHxTB_p2#1	Café torrado Santa Clara almofada 250g Clássico	12,98	un
DabRmxqHxTB_p2#2	Açúcar triturado Olho D'Água 1kg	2,98	un
DabRmxqHxTB_p2#3	Arroz Coradini parboilizado 1kg	3,48	un
DabRmxqHxTB_p2#4	Flocão de milho Fortemilho 400g	1,05	un
DabRmxqHxTB_p2#5	Carne bovina patinho kg	37,48	kg
DabRmxqHxTB_p2#6	Detergente em pó ALA pacote 1,6kg (de 12,98, no app)	9,98	un
DabRmxqHxTB_p2#7	Lava roupas líquido Becker El Versátil 5L (de 32,98, no app)	27,98	un
DabRmxqHxTB_p2#8	Leite Ninho sachê 875g integral (de 29,90, no app)	26,98	un
DabRmxqHxTB_p2#9	Leite condensado Betânia 395g semidesnatado (de 5,98, no app)	5,48	un
